product_type;product_variant_name;product_variant_id;utsch_sku;supplier_id;cost_item_1;cost_item_2;cost_item_3;cost_item_4;license_plate_number_length;shipping_cost
"EMISSION_STICKER";"Feinstaubplakette";389;"N/A";2;1.99;1.99;1.99;1.99;;0.00
"LICENSE_PLATE";"Elektro-Kennzeichen 180x200mm - zweizeilig";181;"UU44180";1;2.50;2.20;2.20;2.20;6;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 180x200mm - zweizeilig - Carbonoptik";163;"UUC4180";1;3.00;2.70;2.70;2.70;6;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 200x200mm - zweizeilig";180;"UU44200";1;2.50;2.20;2.20;2.20;6;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 200x200mm - zweizeilig - Carbonoptik";162;"UUC4200";1;3.00;2.70;2.70;2.70;6;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 220x200mm - zweizeilig";179;"UU44220";1;2.50;2.20;2.20;2.20;7;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 220x200mm - zweizeilig - Carbonoptik";161;"UUC4220";1;3.00;2.70;2.70;2.70;7;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 240x130mm - Schrift verkleinert - zweizeilig";182;"UU44240";1;2.50;2.20;2.20;2.20;5;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 240x130mm - zweizeilig - Carbonoptik";164;"UUC4240";1;3.00;2.70;2.70;2.70;5;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 250x200mm - zweizeilig";178;"UU44250";1;2.50;2.20;2.20;2.20;5;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 250x200mm - zweizeilig - Carbonoptik";160;"UUC4250";1;3.00;2.70;2.70;2.70;5;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 255x130mm - Schrift verkleinert - zweizeilig";183;"UU44255";1;2.50;2.20;2.20;2.20;7;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 255x130mm - zweizeilig - Carbonoptik";165;"UUC4255";1;3.00;2.70;2.70;2.70;7;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 280x200mm - zweizeilig";177;"UU44280";1;2.50;2.20;2.20;2.20;7;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 280x200mm - zweizeilig - Carbonoptik";159;"UUC4280";1;3.00;2.70;2.70;2.70;7;3.45
"LICENSE_PLATE";"Elektro-Kennzeichen 340x200mm - zweizeilig";176;"UU44340";1;2.50;2.20;2.20;2.20;7;3.45
